"team","age","height","weight","gp","pts","reb","ast","net_rating","oreb_pct","dreb_pct","usg_pct","ts_pct","ast_pct"
"HOU","Young","Medium","Medium","64","Low","Low","Low","Average","Low","Low","Low","LowEff","Medium"
"VAN","Prime","Medium","Medium","41","Low","Medium","Low","Negative","High","Medium","Low","LowEff","Medium"
"LAL","Prime","Medium","Medium","64","Low","Low","Low","Average","Low","Medium","Medium","Solid","Medium"
"DEN","Young","Tall","Medium","52","Low","Low","Low","Negative","High","Medium","Medium","LowEff","Low"
"ORL","Veteran","Medium","Medium","80","Low","Low","Low","Negative","Low","Low","Medium","LowEff","Medium"
"WAS","Prime","Tall","Heavy","73","Low","Medium","Low","Positive","Medium","High","Medium","Elite","Low"
"CHH","Prime","Medium","Medium","79","High","Low","Low","Average","Low","Low","High","Elite","Low"
"MIL","Young","Medium","Medium","80","Medium","Medium","Low","Average","Medium","Medium","High","Solid","Medium"
"DET","Young","Medium","Medium","80","Medium","Medium","Medium","Positive","Low","High","High","Solid","High"
"POR","Young","Medium","Medium","82","Low","Low","Low","Average","High","Medium","Medium","Solid","Low"
"DET","Veteran","Medium","Medium","65","Low","Low","Low","Average","Medium","Medium","Low","Solid","Low"
"VAN","Prime","Medium","Light","65","Low","Low","Medium","Negative","Low","Low","Low","Solid","High"
"DAL","Veteran","Tall","Medium","40","Low","Low","Low","Negative","Medium","Medium","Low","LowEff","Low"
"UTA","Prime","Tall","Medium","79","Low","Low","Low","Average","Medium","Medium","Low","LowEff","Low"
"SEA","Prime","Medium","Light","28","Low","Low","Low","Average","Low","Low","Medium","LowEff","Low"
"BOS","Prime","Medium","Medium","23","Low","Low","Low","Average","Medium","Medium","Medium","LowEff","Medium"
"UTA","Young","Tall","Heavy","77","Low","Medium","Low","Positive","High","High","Low","Solid","Low"
"HOU","Veteran","Tall","Medium","78","Medium","Medium","Low","Positive","Medium","High","High","Solid","Medium"
"WAS","Veteran","Medium","Medium","78","Low","Low","Low","Average","Low","Medium","Low","LowEff","Low"
"SAS","Veteran","Tall","Medium","82","Low","Medium","Low","Negative","High","High","Low","Solid","Low"
"SEA","Prime","Medium","Light","82","Medium","Low","Medium","Positive","Low","Medium","High","Solid","High"
"MIA","Veteran","Medium","Light","28","Low","Low","Low","Average","Low","Medium","Medium","LowEff","Medium"
"ATL","Prime","Medium","Light","71","Low","Low","Low","Average","Low","Low","Low","Solid","Medium"
"MIL","Prime","Short","Light","82","Low","Low","Low","Average","Low","Low","Low","Solid","High"
"VAN","Veteran","Tall","Medium","20","Low","Low","Low","Average","Low","High","Low","LowEff","Low"
"VAN","Prime","Tall","Medium","28","Low","Low","Low","Negative","High","Medium","Low","LowEff","Low"
"NJN","Prime","Tall","Medium","78","Low","Medium","Low","Negative","High","High","Low","LowEff","Low"
"LAC","Prime","Medium","Medium","65","Low","Low","Low","Average","Medium","Low","Medium","Solid","Medium"
"SEA","Young","Medium","Light","67","Low","Low","Low","Average","Low","Low","Low","LowEff","High"
"BOS","Young","Medium","Medium","72","Medium","Low","Low","Negative","Medium","Medium","Medium","Solid","Low"
"IND","Young","Tall","Medium","72","Low","Low","Low","Average","High","High","Medium","LowEff","Low"
"DAL","Young","Medium","Medium","28","Low","Low","Low","Negative","Low","Medium","Medium","LowEff","Medium"
"DEN","Prime","Tall","Medium","82","Low","High","Low","Negative","High","High","Low","Solid","Low"
"GSW","Prime","Tall","Heavy","73","Low","Medium","Low","Average","High","High","Low","Solid","Low"
"IND","Young","Medium","Light","47","Low","Low","Low","Average","Low","Medium","Low","Solid","Medium"
"ATL","Veteran","Medium","Medium","53","Low","Low","Low","Average","Low","Low","Low","Solid","Low"
"LAL","Prime","Tall","Medium","77","Medium","Medium","Low","Average","Medium","Medium","Medium","LowEff","Low"
