"rules","support","confidence","coverage","lift","count"
"{dreb_pct=High} => {ast=Low}",0.155819833317726,0.948688711516534,0.164247588725536,1.0976215330753,1664
"{reb=Medium} => {weight=Medium}",0.177919280831539,0.916546068499759,0.194119299559884,1.30817902506134,1900
"{reb=Medium} => {ast=Low}",0.168367824702688,0.867342016401351,0.194119299559884,1.00350437628928,1798
"{age=Veteran} => {ast=Low}",0.194774791647158,0.849673202614379,0.229234947092424,0.983061769308662,2080
"{net_rating=Negative} => {pts=Low}",0.226238411836314,0.852204585537919,0.265474295346006,1.15023922762379,2416
"{net_rating=Negative} => {reb=Low}",0.229047663638918,0.86278659611993,0.265474295346006,1.09660771958638,2446
"{net_rating=Negative} => {ast=Low}",0.245247682367263,0.923809523809524,0.265474295346006,1.06883660939999,2619
"{height=Tall} => {weight=Medium}",0.241689296750632,0.906886858749122,0.266504354340294,1.29439251063644,2581
"{height=Tall} => {ast=Low}",0.257702032025471,0.966971187631764,0.266504354340294,1.1187741400563,2752
"{weight=Light} => {oreb_pct=Low}",0.262290476636389,0.963204951856946,0.272310141399007,1.67880947949736,2801
"{weight=Light} => {height=Medium}",0.232699690982302,0.854539202200825,0.272310141399007,1.2313620483474,2485
"{weight=Light} => {reb=Low}",0.266504354340294,0.978679504814305,0.272310141399007,1.24390840655939,2846
"{dreb_pct=Low} => {oreb_pct=Low}",0.260885850735088,0.947619047619048,0.275306676655118,1.65164416672496,2786
"{dreb_pct=Low} => {height=Medium}",0.241876580204139,0.878571428571429,0.275306676655118,1.26599167261021,2583
"{dreb_pct=Low} => {reb=Low}",0.275213034928364,0.999659863945578,0.275306676655117,1.27057458784514,2939
"{oreb_pct=Medium} => {weight=Medium}",0.252926303961045,0.91404399323181,0.276711302556419,1.30460783262797,2701
"{oreb_pct=Medium} => {ast=Low}",0.265755220526266,0.960406091370558,0.276711302556419,1.11117840192266,2838
"{age=Young} => {reb=Low}",0.256391047850922,0.805531038540747,0.318288229234947,1.02383551066135,2738
"{age=Young} => {ast=Low}",0.28570090832475,0.897616946160635,0.318288229234947,1.03853210921446,3051
"{ast_pct=Medium} => {ast=Low}",0.358835096919187,0.890955591722855,0.402753066766551,1.0308250015177,3832
"{usg_pct=Medium} => {ast=Low}",0.353216593313981,0.84668911335578,0.417173892686581,0.979609213599824,3772
"{ts_pct=LowEff} => {pts=Low}",0.367918344414271,0.874860832776664,0.420544994849705,1.18081886163069,3929
"{ts_pct=LowEff} => {reb=Low}",0.370540312763367,0.881095524382097,0.420544994849705,1.11987849379629,3957
"{ts_pct=LowEff} => {ast=Low}",0.375877891188313,0.893787575150301,0.420544994849705,1.03410157259264,4014
"{age=Prime} => {ast=Low}",0.383837437962356,0.84830298013245,0.452476823672629,0.981476438226916,4099
"{ast_pct=Low} => {weight=Medium}",0.415394699878266,0.891479099678457,0.465961232325124,1.27240113679046,4436
"{ast_pct=Low} => {pts=Low}",0.406217810656428,0.871784565916399,0.465961232325124,1.17666675675192,4338
"{ast_pct=Low} => {ast=Low}",0.465961232325124,1,0.465961232325124,1.1569880823402,4976
"{usg_pct=Low} => {pts=Low}",0.466242157505384,0.971701795472287,0.479820207884633,1.3115272338029,4979
"{usg_pct=Low} => {reb=Low}",0.408746137278771,0.851873536299766,0.479820207884633,1.0827371452208,4365
"{usg_pct=Low} => {ast=Low}",0.455847925835752,0.950039032006245,0.479820207884633,1.09918383778924,4868
"{ts_pct=Solid} => {ast=Low}",0.410899896994101,0.839326702371844,0.489558947466991,0.971090991834119,4388
"{dreb_pct=Medium} => {weight=Medium}",0.452195898492368,0.806850459482038,0.560445734619346,1.15161134146066,4829
"{dreb_pct=Medium} => {reb=Low}",0.456409776196273,0.81436925647452,0.560445734619346,1.03506894666644,4874
"{dreb_pct=Medium} => {ast=Low}",0.495926584886225,0.884878863826232,0.560445734619346,1.02379429976168,5296
"{net_rating=Average} => {ast=Low}",0.489371664013484,0.860388541323675,0.568779848300403,0.995459288493556,5226
"{oreb_pct=Low} => {height=Medium}",0.499953179136623,0.871388934225559,0.573742859818335,1.25564194151865,5339
"{oreb_pct=Low} => {reb=Low}",0.530761307238505,0.925085686306512,0.573742859818335,1.17579029327151,5668
"{height=Medium} => {reb=Low}",0.597996067047476,0.861692079341519,0.693978836969754,1.09521658120544,6386
"{height=Medium} => {ast=Low}",0.583762524580953,0.841182026717042,0.693978836969754,0.973237579990389,6234
"{weight=Medium} => {ast=Low}",0.646877048412773,0.923282544774125,0.700627399569248,1.06822690093639,6908
"{pts=Low} => {reb=Low}",0.644255080063676,0.869565217391304,0.740893342073228,1.10522339401592,6880
"{reb=Low} => {pts=Low}",0.644255080063676,0.818852654129969,0.786777788182414,1.10522339401592,6880
"{pts=Low} => {ast=Low}",0.700252832662234,0.945146612740142,0.740893342073228,1.09352336700455,7478
"{ast=Low} => {pts=Low}",0.700252832662234,0.810184182015168,0.864313137934263,1.09352336700455,7478
"{reb=Low} => {ast=Low}",0.680119861410244,0.864437038800286,0.786777788182414,1.00014335182538,7263
"{weight=Medium,reb=Medium} => {ast=Low}",0.156475325405,0.879473684210526,0.177919280831539,1.0175405713634,1671
"{reb=Medium,ast=Low} => {weight=Medium}",0.156475325405,0.9293659621802,0.168367824702688,1.32647675890435,1671
"{age=Veteran,pts=Low} => {reb=Low}",0.155726191590973,0.863896103896104,0.180260324000375,1.09801791162896,1663
